1,22.559999
2,21.92
3,21.389999
4,20.26
5,19.98
6,19.65
7,19.620001
8,18.68
9,19
10,17.940001
11,16.690001
12,17.379999
13,17.83
14,17.84
15,17.02
16,17.01
17,16.780001
18,16.49
19,16.799999
20,17.91
21,16.08
22,16.559999
23,16.91
24,15.72
25,14.9
26,14.4
27,14.98
28,14.31
29,15.88
30,16.360001
31,17.459999
32,18.43
33,18.309999
34,18.299999
35,18.299999
36,18
37,17.59
38,17.940001
39,18.120001
40,17.85
41,18.540001
42,19.309999
43,19.360001
44,19.17
45,18.33
46,17.66
47,16.610001
48,16.809999
49,17.120001
50,16.190001
51,16.700001
52,16.85
53,16.85
54,16.889999
55,16.860001
56,16.01
57,15.91
58,15.6
59,15.97
60,16.360001
61,16.549999
62,15.98
63,17.09
64,17.049999
65,17.26
66,16.98
67,16.65
68,16.51
69,16.57
70,17.370001
71,17.530001
72,17.58
73,17.309999
74,16.92
75,17.4
76,17.51
77,17.23
78,17.09
79,17.75
80,14.86
81,14.64
82,14.62
83,14.4
84,14.01
85,14.84
86,14.12
87,14.4
88,14.2
89,14.63
90,14.59
91,14.08
92,14.1
93,14.29
94,14.34
95,14.14
96,14.15
97,14.43
98,14.41
99,14.03
100,14.41
101,14.3
102,15.1
103,15.22
104,15.02
105,15.2
106,15.2
107,15.27
108,15
109,14.95
110,14.6
111,14.02
112,14.55
113,15.36
114,15.96
115,15.87
116,16.1
117,16.34
118,16.32
119,16.129999
120,17.040001
121,16.440001
122,15.84
123,16.42
124,16.83
125,16.91
126,17.280001
127,17.139999
128,17.200001
129,17.370001
130,18.08
131,17.709999
132,18.1
133,17.74
134,17.959999
135,18.08
136,18.65
137,18.33
138,18.559999
139,18.389999
140,18.370001
141,18.65
142,18.450001
143,15.77
144,16.309999
145,16.639999
146,16.639999
147,16.42
148,17.610001
149,18.129999
150,18.26
151,18.200001
152,18.68
153,19.040001
154,19.780001
155,19.540001
156,20.860001
157,20.4
158,20.17
159,19
160,18.98
161,18.549999
162,18.690001
163,18.25
164,18.32
165,18.299999
166,18.469999
167,18.379999
168,19.209999
169,19.5
170,19.549999
171,19.93
172,19.870001
173,18.700001
174,18.110001
175,18.15
176,17.76
177,18.08
178,18.299999
179,19.110001
180,18.360001
181,18.389999
182,18.49
183,18.629999
184,22.620001
185,23.370001
186,23.719999
187,22.959999
